Date UTC;HR (%)
25/02/99 00h00;100
25/02/99 03h00;93
25/02/99 06h00;100
25/02/99 09h00;100
25/02/99 12h00;77
25/02/99 15h00;87
25/02/99 18h00;87
25/02/99 21h00;87
26/02/99 00h00;87
26/02/99 03h00;81
26/02/99 06h00;87
26/02/99 09h00;87
26/02/99 12h00;81
26/02/99 15h00;81
26/02/99 18h00;81
26/02/99 21h00;93
27/02/99 00h00;93
27/02/99 03h00;87
27/02/99 06h00;87
27/02/99 09h00;87
27/02/99 12h00;72
27/02/99 15h00;88
27/02/99 18h00;93
27/02/99 21h00;93
28/02/99 00h00;93
28/02/99 03h00;93
28/02/99 06h00;93
28/02/99 09h00;100
28/02/99 12h00;58
28/02/99 15h00;51
28/02/99 18h00;66
28/02/99 21h00;87
01/03/99 00h00;100
01/03/99 03h00;93
01/03/99 06h00;93
01/03/99 09h00;93
01/03/99 12h00;67
01/03/99 15h00;58
01/03/99 18h00;71
01/03/99 21h00;82
02/03/99 00h00;87
02/03/99 03h00;93
02/03/99 06h0002/03/99 09h00;94
02/03/99 12h00;77
02/03/99 15h00;77
02/03/99 18h00;88
02/03/99 21h00;93
03/03/99 00h00;87
03/03/99 03h0003/03/99 06h00;93
03/03/99 09h00;87
03/03/99 12h00;93
03/03/99 15h00;93
03/03/99 18h00;87
03/03/99 21h0004/03/99 00h00;87
04/03/99 03h00;93
04/03/99 06h00;87
04/03/99 09h0004/03/99 12h00;87
04/03/99 15h0004/03/99 18h00;87
04/03/99 21h0005/03/99 00h00;87
05/03/99 03h00;93
05/03/99 06h00;93
05/03/99 09h00;87
05/03/99 12h00;81
05/03/99 15h00;87
05/03/99 18h00;87
05/03/99 21h00;93
06/03/99 00h00;100
06/03/99 03h00;93
06/03/99 06h00;93
06/03/99 09h00;93
06/03/99 12h00;93
06/03/99 15h00;76
06/03/99 18h00;75
06/03/99 21h00;87
07/03/99 00h00;87
07/03/99 03h00;93
07/03/99 06h00;93
07/03/99 09h00;87
07/03/99 12h00;71
07/03/99 15h00;81
07/03/99 18h00;87
07/03/99 21h00;93
08/03/99 00h00;93
08/03/99 03h00;81
08/03/99 06h00;71
08/03/99 09h00;62
08/03/99 12h00;55
08/03/99 15h00;63
08/03/99 18h00;63
08/03/99 21h00;87
09/03/99 00h00;87
09/03/99 03h00;93
09/03/99 06h00;81
09/03/99 09h00;67
09/03/99 12h00;37
09/03/99 15h00;39
09/03/99 18h00;48
09/03/99 21h00;71
10/03/99 00h00;76
10/03/99 03h00;82
10/03/99 06h0010/03/99 09h00;77
10/03/99 12h00;56
10/03/99 15h00;53
10/03/99 18h00;64
10/03/99 21h00;72
11/03/99 00h00;77
11/03/99 03h00;87
11/03/99 06h00;87
11/03/99 09h00;88
11/03/99 12h00;60
11/03/99 15h00;46
11/03/99 18h00;64
11/03/99 21h00;82
12/03/99 00h00;88
12/03/99 03h00;88
12/03/99 06h00;87
12/03/99 09h00;82
12/03/99 12h00;72
12/03/99 15h00;52
12/03/99 18h00;59
12/03/99 21h00;72
13/03/99 00h00;93
13/03/99 03h00;93
13/03/99 06h00;93
13/03/99 09h00;94
13/03/99 12h00;77
13/03/99 15h00;72
13/03/99 18h00;94
13/03/99 21h00;100
14/03/99 00h00;94
14/03/99 03h00;94
14/03/99 06h00;100
14/03/99 09h00;88
14/03/99 12h00;82
14/03/99 15h00;72
14/03/99 18h00;72
14/03/99 21h00;94
15/03/99 00h00;88
15/03/99 03h00;87
15/03/99 06h00;93
15/03/99 09h00;77
15/03/99 12h00;56
15/03/99 15h00;49
15/03/99 18h00;56
15/03/99 21h00;67
16/03/99 00h00;77
16/03/99 03h00;87
16/03/99 06h00;87
16/03/99 09h00;77
16/03/99 12h00;52
16/03/99 15h00;35
16/03/99 18h00;39
16/03/99 21h00;51
17/03/99 00h00;62
17/03/99 03h00;76
17/03/99 06h00;81
17/03/99 09h00;71
17/03/99 12h00;39
17/03/99 15h00;26
17/03/99 18h00;29
17/03/99 21h00;44
18/03/99 00h00;53
18/03/99 03h00;71
18/03/99 06h00;75
18/03/99 09h00;65
