Year Month Day Ten_Min_Avg Ten_Min_StD
2001.0 6.0 11.0 22.3 2.7
2001.0 6.0 11.0 23.0 2.0
2001.0 6.0 11.0 23.3 1.9
2001.0 6.0 11.0 22.0 2.0
2001.0 6.0 11.0 20.5 3.1
2001.0 6.0 11.0 25.2 2.3
2001.0 6.0 11.0 24.8 2.5
2001.0 6.0 11.0 24.0 1.9
2001.0 6.0 11.0 22.9 1.7
2001.0 6.0 11.0 17.9 1.8
2001.0 6.0 11.0 20.3 1.9
2001.0 6.0 11.0 21.5 1.7
2001.0 6.0 11.0 21.3 2.1
2001.0 6.0 11.0 21.3 1.6
2001.0 6.0 11.0 21.3 1.4
2001.0 6.0 11.0 22.4 3.7
2001.0 6.0 11.0 25.4 2.8
2001.0 6.0 11.0 25.9 2.1
2001.0 6.0 11.0 25.5 2.7
2001.0 6.0 11.0 25.7 2.6
2001.0 6.0 11.0 23.9 2.4
2001.0 6.0 11.0 24.7 2.7
2001.0 6.0 11.0 26.3 2.5
2001.0 6.0 11.0 26.9 2.7
2001.0 6.0 11.0 29.0 2.2
2001.0 6.0 11.0 24.4 3.3
2001.0 6.0 11.0 21.4 2.0
2001.0 6.0 11.0 20.0 2.5
2001.0 6.0 11.0 18.3 1.8
2001.0 6.0 11.0 17.1 1.8
2001.0 6.0 11.0 17.6 2.3
2001.0 6.0 11.0 16.7 2.0
2001.0 6.0 11.0 11.4 2.3
2001.0 6.0 11.0 16.6 2.6
2001.0 6.0 11.0 16.1 2.3
2001.0 6.0 11.0 16.0 2.1
2001.0 6.0 11.0 17.0 2.5
2001.0 6.0 11.0 17.2 2.2
2001.0 6.0 11.0 17.1 2.6
2001.0 6.0 11.0 16.8 2.9
2001.0 6.0 11.0 16.6 3.0
2001.0 6.0 11.0 17.5 2.6
2001.0 6.0 11.0 17.1 2.1
2001.0 6.0 11.0 18.6 2.0
2001.0 6.0 11.0 18.4 2.0
2001.0 6.0 11.0 15.0 2.7
2001.0 6.0 11.0 16.0 2.2
2001.0 6.0 11.0 16.5 2.1
2001.0 6.0 11.0 18.7 2.4
2001.0 6.0 11.0 16.7 2.6
2001.0 6.0 11.0 14.7 2.3
2001.0 6.0 11.0 13.6 2.1
2001.0 6.0 11.0 16.0 2.9
2001.0 6.0 11.0 15.9 2.7
2001.0 6.0 11.0 16.2 2.1
2001.0 6.0 11.0 17.7 2.5
2001.0 6.0 11.0 16.2 2.1
2001.0 6.0 11.0 15.9 1.9
2001.0 6.0 11.0 15.4 2.2
2001.0 6.0 11.0 18.3 2.4
2001.0 6.0 11.0 18.1 2.4
2001.0 6.0 11.0 19.2 2.6
2001.0 6.0 11.0 17.5 2.3
2001.0 6.0 11.0 16.0 1.9
2001.0 6.0 11.0 14.9 2.1
2001.0 6.0 11.0 15.4 2.0
2001.0 6.0 11.0 14.7 1.6
2001.0 6.0 11.0 15.5 1.9
2001.0 6.0 11.0 17.4 2.4
2001.0 6.0 11.0 14.1 2.4
2001.0 6.0 11.0 14.0 1.8
2001.0 6.0 11.0 13.0 2.2
2001.0 6.0 11.0 14.7 2.3
2001.0 6.0 11.0 14.2 2.0
2001.0 6.0 11.0 15.0 2.2
2001.0 6.0 11.0 14.3 2.2
2001.0 6.0 11.0 14.7 2.0
2001.0 6.0 11.0 15.9 2.1
2001.0 6.0 11.0 17.7 2.1
2001.0 6.0 11.0 16.1 2.0
2001.0 6.0 11.0 15.3 2.0
2001.0 6.0 11.0 15.2 1.8
2001.0 6.0 11.0 14.7 2.0
2001.0 6.0 11.0 15.9 2.1
2001.0 6.0 11.0 14.8 2.1
2001.0 6.0 11.0 15.2 2.0
2001.0 6.0 11.0 14.5 1.9
2001.0 6.0 11.0 15.1 2.1
2001.0 6.0 11.0 15.2 1.9
2001.0 6.0 11.0 15.3 2.2
2001.0 6.0 11.0 15.2 2.0
2001.0 6.0 11.0 14.9 2.1
