Day Month Year Magnitude
1.0 2.0 1965.0 6.0
1.0 4.0 1965.0 5.8
1.0 5.0 1965.0 6.2
1.0 8.0 1965.0 5.8
1.0 9.0 1965.0 5.8
1.0 10.0 1965.0 6.7
1.0 12.0 1965.0 5.9
1.0 15.0 1965.0 6.0
1.0 16.0 1965.0 6.0
1.0 17.0 1965.0 5.8
1.0 17.0 1965.0 5.9
1.0 24.0 1965.0 8.2
1.0 29.0 1965.0 5.5
2.0 1.0 1965.0 5.6
2.0 2.0 1965.0 6.0
2.0 4.0 1965.0 6.1
2.0 4.0 1965.0 8.7
2.0 4.0 1965.0 6.0
2.0 4.0 1965.0 5.7
2.0 4.0 1965.0 5.8
2.0 4.0 1965.0 5.9
2.0 4.0 1965.0 5.9
2.0 4.0 1965.0 5.7
2.0 4.0 1965.0 5.7
2.0 4.0 1965.0 5.7
2.0 4.0 1965.0 5.6
2.0 4.0 1965.0 7.3
2.0 4.0 1965.0 6.5
2.0 4.0 1965.0 5.6
2.0 4.0 1965.0 6.4
2.0 4.0 1965.0 5.8
2.0 4.0 1965.0 5.8
2.0 4.0 1965.0 5.8
2.0 4.0 1965.0 5.7
2.0 5.0 1965.0 5.7
2.0 5.0 1965.0 6.3
2.0 5.0 1965.0 5.7
2.0 5.0 1965.0 6.0
2.0 5.0 1965.0 5.6
2.0 6.0 1965.0 6.4
2.0 6.0 1965.0 6.2
2.0 6.0 1965.0 5.6
2.0 6.0 1965.0 5.7
2.0 6.0 1965.0 5.7
2.0 6.0 1965.0 6.3
2.0 6.0 1965.0 5.8
2.0 7.0 1965.0 5.7
2.0 7.0 1965.0 5.7
2.0 7.0 1965.0 5.8
2.0 8.0 1965.0 5.9
2.0 9.0 1965.0 5.6
2.0 9.0 1965.0 6.0
2.0 12.0 1965.0 5.8
2.0 15.0 1965.0 5.8
2.0 15.0 1965.0 5.9
2.0 16.0 1965.0 5.7
2.0 17.0 1965.0 5.7
2.0 17.0 1965.0 5.6
2.0 18.0 1965.0 5.6
2.0 18.0 1965.0 5.9
2.0 18.0 1965.0 5.8
2.0 21.0 1965.0 5.8
2.0 23.0 1965.0 7.0
2.0 25.0 1965.0 6.2
2.0 25.0 1965.0 6.2
2.0 26.0 1965.0 5.6
2.0 27.0 1965.0 6.0
3.0 1.0 1965.0 5.9
3.0 1.0 1965.0 5.7
3.0 1.0 1965.0 5.5
3.0 1.0 1965.0 5.6
3.0 1.0 1965.0 5.7
3.0 1.0 1965.0 5.6
3.0 2.0 1965.0 5.8
3.0 3.0 1965.0 5.6
3.0 3.0 1965.0 6.7
3.0 3.0 1965.0 6.3
3.0 4.0 1965.0 5.7
3.0 5.0 1965.0 5.5
3.0 5.0 1965.0 5.6
3.0 5.0 1965.0 5.8
3.0 5.0 1965.0 5.6
3.0 6.0 1965.0 5.6
3.0 6.0 1965.0 5.8
3.0 7.0 1965.0 6.0
3.0 9.0 1965.0 6.1
3.0 13.0 1965.0 5.7
3.0 14.0 1965.0 7.4
3.0 15.0 1965.0 5.8
3.0 16.0 1965.0 6.4
3.0 17.0 1965.0 6.0
3.0 18.0 1965.0 6.3
3.0 18.0 1965.0 5.7
3.0 19.0 1965.0 6.0
3.0 21.0 1965.0 6.3
3.0 22.0 1965.0 6.5
3.0 22.0 1965.0 6.2
3.0 23.0 1965.0 6.2
3.0 24.0 1965.0 5.7
3.0 28.0 1965.0 5.8
3.0 28.0 1965.0 7.4
3.0 29.0 1965.0 6.4
3.0 30.0 1965.0 5.9
3.0 30.0 1965.0 7.6
3.0 31.0 1965.0 6.8
4.0 1.0 1965.0 5.9
4.0 3.0 1965.0 5.8
4.0 4.0 1965.0 5.7
4.0 4.0 1965.0 5.6
4.0 5.0 1965.0 6.1
4.0 5.0 1965.0 5.7
4.0 6.0 1965.0 5.7
4.0 6.0 1965.0 6.2
4.0 8.0 1965.0 6.1
4.0 9.0 1965.0 6.0
4.0 9.0 1965.0 6.2
4.0 10.0 1965.0 5.7
4.0 10.0 1965.0 6.5
4.0 10.0 1965.0 6.3
4.0 11.0 1965.0 5.9
4.0 11.0 1965.0 5.7
4.0 12.0 1965.0 5.6
4.0 15.0 1965.0 5.6
4.0 16.0 1965.0 6.0
4.0 18.0 1965.0 5.9
4.0 18.0 1965.0 6.1
4.0 18.0 1965.0 6.1
4.0 19.0 1965.0 6.0
4.0 24.0 1965.0 5.8
4.0 25.0 1965.0 6.0
4.0 26.0 1965.0 5.7
4.0 26.0 1965.0 5.6
4.0 26.0 1965.0 6.1
4.0 27.0 1965.0 6.0
4.0 27.0 1965.0 6.1
4.0 27.0 1965.0 5.8
4.0 29.0 1965.0 6.7
4.0 29.0 1965.0 6.0
5.0 1.0 1965.0 5.6
5.0 2.0 1965.0 5.8
5.0 3.0 1965.0 5.8
5.0 3.0 1965.0 5.9
5.0 3.0 1965.0 5.7
5.0 4.0 1965.0 6.2
5.0 12.0 1965.0 5.7
5.0 12.0 1965.0 6.1
5.0 15.0 1965.0 5.8
5.0 16.0 1965.0 5.9
5.0 17.0 1965.0 6.7
5.0 19.0 1965.0 5.6
5.0 19.0 1965.0 5.6
5.0 19.0 1965.0 5.5
5.0 20.0 1965.0 7.7
5.0 22.0 1965.0 5.7
5.0 22.0 1965.0 6.1
5.0 23.0 1965.0 6.0
5.0 24.0 1965.0 5.9
5.0 25.0 1965.0 5.8
5.0 26.0 1965.0 6.0
5.0 31.0 1965.0 5.9
6.0 2.0 1965.0 5.7
6.0 2.0 1965.0 5.9
6.0 5.0 1965.0 5.6
6.0 11.0 1965.0 5.6
6.0 11.0 1965.0 7.0
6.0 11.0 1965.0 7.2
6.0 11.0 1965.0 5.5
6.0 11.0 1965.0 5.6
6.0 11.0 1965.0 5.7
6.0 12.0 1965.0 5.6
6.0 12.0 1965.0 5.7
6.0 12.0 1965.0 5.7
6.0 12.0 1965.0 5.5
6.0 12.0 1965.0 5.9
6.0 13.0 1965.0 6.1
6.0 13.0 1965.0 5.9
6.0 14.0 1965.0 5.6
6.0 15.0 1965.0 5.9
6.0 15.0 1965.0 6.2
6.0 17.0 1965.0 5.9
6.0 20.0 1965.0 5.6
6.0 20.0 1965.0 5.5
6.0 21.0 1965.0 5.9
6.0 22.0 1965.0 6.3
6.0 23.0 1965.0 6.5
6.0 24.0 1965.0 5.8
6.0 27.0 1965.0 5.7
6.0 27.0 1965.0 6.5
6.0 27.0 1965.0 5.9
6.0 28.0 1965.0 6.0
6.0 30.0 1965.0 5.8
6.0 30.0 1965.0 5.7
7.0 1.0 1965.0 6.1
7.0 2.0 1965.0 7.8
7.0 3.0 1965.0 5.9
7.0 6.0 1965.0 5.8
7.0 6.0 1965.0 6.3
7.0 6.0 1965.0 5.6
7.0 6.0 1965.0 6.3
7.0 7.0 1965.0 5.7
7.0 12.0 1965.0 5.7
7.0 15.0 1965.0 6.0
7.0 17.0 1965.0 5.9
7.0 20.0 1965.0 5.7
7.0 21.0 1965.0 5.5
7.0 25.0 1965.0 5.5
7.0 25.0 1965.0 5.6
7.0 25.0 1965.0 5.7
7.0 28.0 1965.0 5.6
7.0 29.0 1965.0 6.8
7.0 29.0 1965.0 5.7
7.0 29.0 1965.0 5.6
7.0 30.0 1965.0 5.6
8.0 1.0 1965.0 5.9
8.0 2.0 1965.0 7.3
8.0 3.0 1965.0 5.7
8.0 5.0 1965.0 6.5
8.0 11.0 1965.0 7.2
8.0 11.0 1965.0 5.8
8.0 11.0 1965.0 6.9
8.0 11.0 1965.0 6.0
8.0 11.0 1965.0 7.6
8.0 12.0 1965.0 6.9
8.0 12.0 1965.0 6.8
8.0 12.0 1965.0 5.9
8.0 13.0 1965.0 5.8
8.0 13.0 1965.0 6.1
8.0 13.0 1965.0 7.4
8.0 13.0 1965.0 7.2
8.0 13.0 1965.0 6.2
8.0 13.0 1965.0 6.0
8.0 14.0 1965.0 6.0
8.0 14.0 1965.0 5.7
8.0 16.0 1965.0 6.2
8.0 17.0 1965.0 6.1
8.0 17.0 1965.0 5.8
8.0 18.0 1965.0 6.2
8.0 20.0 1965.0 6.7
8.0 20.0 1965.0 6.7
8.0 20.0 1965.0 6.1
8.0 21.0 1965.0 5.6
8.0 23.0 1965.0 6.0
8.0 23.0 1965.0 7.4
8.0 24.0 1965.0 5.8
8.0 27.0 1965.0 5.7
8.0 30.0 1965.0 5.8
8.0 30.0 1965.0 5.7
9.0 1.0 1965.0 5.8
9.0 2.0 1965.0 5.5
9.0 4.0 1965.0 5.9
9.0 4.0 1965.0 7.0
9.0 8.0 1965.0 5.7
