"Q";"Ks";"Zv";"Zm";"S"
1.4436039265078193e+03;1.3639610740376142e+01;4.9171569943577531e+01;5.5911206117493208e+01;-5.4414263053229135e+00
2.1748929387075141e+03;3.2625315648977178e+01;5.0321454581464593e+01;5.4945900094770010e+01;-4.8807003783310563e+00
6.2610135441466514e+02;2.7337447131107702e+01;4.9420884073211766e+01;5.4519722015984982e+01;-7.3921399501606473e+00
3.2581056371881289e+02;4.0779369826056772e+01;4.9772457369514996e+01;5.5322679550951818e+01;-7.8532839995702659e+00
9.8139934983531919e+02;3.6080009868521131e+01;4.9049118935271963e+01;5.4979549068508973e+01;-7.6634065384404408e+00
2.9503927690382779e+03;3.5948670085948272e+01;4.9837837499021994e+01;5.4937048659690461e+01;-5.0340098320880244e+00
2.4042219757666589e+03;2.6471058010255721e+01;5.0963681754590219e+01;5.4222155555769639e+01;-3.1263451892479139e+00
1.2224161902674259e+03;3.1957634514732725e+01;5.0832263982247497e+01;5.4690637730065980e+01;-5.1726608100185132e+00
1.4949058357788629e+03;2.8035007961065940e+01;4.9407305343965611e+01;5.4338433049716286e+01;-6.2633733788384802e+00
1.5342683888091265e+03;2.4777520450122772e+01;5.0711590314895382e+01;5.5954668918031025e+01;-4.7499852904278157e+00
3.1622444346457351e+03;3.1480250391881029e+01;4.9870156695247282e+01;5.4965983031383352e+01;-4.5331993720677062e+00
1.4756434286887190e+03;3.3414059499104873e+01;4.9723328897848795e+01;5.5418615278687376e+01;-6.3567851950513372e+00
4.4942667399041716e+02;3.8512979396064075e+01;4.9004215230562536e+01;5.5915888277492620e+01;-8.4683025168726331e+00
1.7701668268388412e+03;2.9420131258023154e+01;4.9478867183565889e+01;5.5406035409766794e+01;-6.1425029470900654e+00
3.8849670869563838e+03;3.8474563320961764e+01;4.9510312650896893e+01;5.5640356968287414e+01;-5.1018565948944783e+00
5.0438639462253172e+02;2.4139751548239602e+01;5.0183068486560082e+01;5.4963761851865087e+01;-6.6891754481803360e+00
