"Année";"Débit mesuré maximal (m3/s)"
1849;3854
1850;1256
1851;1649
1852;1605
1853;341
1854;1149
1855;868
1856;1148
1857;1227
1858;1991
1859;1255
1860;1366
1861;1100
1862;1837
1863;351
1864;1084
1865;1924
1866;843
1867;2647
1868;1248
1869;2417
1870;1125
1871;903
1872;1462
1873;378
1874;1230
1875;1149
1876;1400
1877;2078
1878;1433
1879;917
1880;1530
1881;2442
1882;2151
1883;1909
1884;630
1885;2435
1886;1920
1887;1512
1888;1377
1889;3330
1890;1858
1891;1359
1892;714
1893;1528
1894;1035
1895;1026
1896;1127
1897;1839
1898;771
1899;1730
1900;1889
1901;3320
1902;352
1903;885
1904;759
1905;731
1906;1711
1907;1906
1908;1543
1909;1307
1910;1275
1911;2706
1912;582
1913;1260
1914;1331
1915;1283
1916;1348
1917;1048
1918;1348
1919;383
1920;1526
1921;789
1922;811
1923;1073
1924;965
1925;619
1926;3361
1927;523
1928;493
1929;424
1930;2017
1931;1958
1932;3192
1933;1556
1934;1169
1935;1511
1936;1515
1937;2491
1938;881
1939;846
1940;856
1941;1036
1942;1830
1943;1391
1944;1334
1945;1512
1946;1792
1947;136
1948;891
1949;635
1950;733
1951;758
1952;1368
1953;935
1954;1173
1955;547
1956;669
1957;331
1958;227
1959;2037
1960;3224
1961;1525
1962;766
1963;1575
1964;1695
1965;1235
1966;1454
1967;2595
1968;706
1969;1837
1970;1629
1971;1421
1972;2204
1973;956
1974;971
1975;1383
1976;541
1977;703
1978;2090
1979;800
1980;651
1981;1153
1982;704
1983;1771
1984;1433
1985;238
1986;122
1987;1306
1988;733
1989;793
1990;856
1991;1903
1992;1594
1993;740
1994;3044
1995;1128
1996;522
1997;642
